typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
5.0,Wertstoffinsel,Hastraweg Wedemark / Meitze - Richtung Umspannwerk,"Hastraweg , Wedemark / Meitze",52.566559281134,9.7685160109289,True,False,True,"https://www.google.com/maps?q=52.566559281134,9.7685160109289"
5.0,Wertstoffinsel,Am Freizeitpark Wedemark / Mellendorf - Jugendhalle,"Am Freizeitpark , Wedemark / Mellendorf",52.546711844619,9.7497942903796,True,False,False,"https://www.google.com/maps?q=52.546711844619,9.7497942903796"
5.0,Wertstoffinsel,Am Rutenberge Wedemark / Mellendorf - Ecke Hermann-Löns-Str.,"Am Rutenberge , Wedemark / Mellendorf",52.544095283867,9.7238552221658,True,False,True,"https://www.google.com/maps?q=52.544095283867,9.7238552221658"
5.0,Wertstoffinsel,Am Spring Wedemark / Negenborn - Ecke Werner-von-Negenborn-Straße,"Am Spring , Wedemark / Negenborn",52.553110830929,9.6365256919853,True,False,True,"https://www.google.com/maps?q=52.553110830929,9.6365256919853"
5.0,Wertstoffinsel,Osterbergstr. Wedemark / Resse - ggü. Waldfriedhof,"Osterbergstr. , Wedemark / Resse",52.502950541593,9.6202434755409,True,False,False,"https://www.google.com/maps?q=52.502950541593,9.6202434755409"
5.0,Wertstoffinsel,Fuhrenkamp Wedemark / Scherenbostel - Ecke Ostpreußenweg Bushaltestelle,"Fuhrenkamp , Wedemark / Scherenbostel",52.525009762849,9.7222295802438,True,False,True,"https://www.google.com/maps?q=52.525009762849,9.7222295802438"
5.0,Wertstoffinsel,Lindenstraße 37 Wedemark / Wennebostel - Parkplatz Edeka,"Lindenstraße 37 , Wedemark / Wennebostel",52.529219409474,9.7521940019276,True,False,True,"https://www.google.com/maps?q=52.529219409474,9.7521940019276"
5.0,Wertstoffinsel,Im Büntefeld Wennigsen / Holtensen - Ecke Am Sportplatz,"Im Büntefeld , Wennigsen / Holtensen",52.264741169152,9.626482772814,True,False,False,"https://www.google.com/maps?q=52.264741169152,9.626482772814"
5.0,Wertstoffinsel,Weetzener Str. Wennigsen / Sorsum - Höhe Buschweg,"Weetzener Str. , Wennigsen / Sorsum",52.279612381208,9.6074315333237,True,False,True,"https://www.google.com/maps?q=52.279612381208,9.6074315333237"
5.0,Wertstoffinsel,Hauptstr. Wennigsen / Wennigsen - Friedhofsparkplatz,"Hauptstr. , Wennigsen / Wennigsen",52.273243117826,9.5740604101119,True,False,True,"https://www.google.com/maps?q=52.273243117826,9.5740604101119"
